name,kind,weight,threshold_lambda,oof_qwk,oof_lift_vs_step25,test_l1,pub_dist,pri_dist,changed,improved,worsened,mean_delta_abs_error,risky_promotions,core_demotions,public_changed,private_changed,thresholds
step25_specter2_finetune_blend_w0p0150_l0p5,label_blend,0.015,0.5,0.6603791772832068,-0.0008813810960260904,0.19253187515809755,"{1: 126, 2: 65, 3: 52, 4: 33, 5: 22}","{1: 140, 2: 65, 3: 42, 4: 29, 5: 22}",105,53,52,0.009523809523809525,0,28,13,17,"1.920755,2.566871,3.279909,4.128208"
step25_specter2_finetune_resid_w0p0150_l0p5,residual_blend,0.015,0.5,0.6603791772832068,-0.0008813810960260904,0.19253187515809755,"{1: 126, 2: 65, 3: 52, 4: 33, 5: 22}","{1: 140, 2: 65, 3: 42, 4: 29, 5: 22}",105,53,52,0.009523809523809525,0,28,13,17,"1.920755,2.566871,3.279909,4.128208"
step25_specter2_finetune_blend_w0p0050_l1p0,label_blend,0.005,1.0,0.6603455024600913,-0.0009150559191416496,0.1723976469701781,"{1: 125, 2: 61, 3: 55, 4: 35, 5: 22}","{1: 138, 2: 66, 3: 40, 4: 32, 5: 22}",46,22,24,-0.043478260869565216,0,11,5,11,"1.908905,2.527335,3.252388,4.118584"
step25_specter2_finetune_resid_w0p0050_l1p0,residual_blend,0.005,1.0,0.6603455024600913,-0.0009150559191416496,0.1723976469701781,"{1: 125, 2: 61, 3: 55, 4: 35, 5: 22}","{1: 138, 2: 66, 3: 40, 4: 32, 5: 22}",46,22,24,-0.043478260869565216,0,11,5,11,"1.908905,2.527335,3.252388,4.118584"
step25_openalex_anchor_blend_w0p0150_l1p0,label_blend,0.015,1.0,0.6603347453153701,-0.000925813063862857,0.17910905636615124,"{1: 124, 2: 64, 3: 54, 4: 34, 5: 22}","{1: 138, 2: 66, 3: 42, 4: 31, 5: 21}",62,30,32,-0.03225806451612903,0,9,9,16,"1.910651,2.536285,3.256305,4.118566"
step25_openalex_anchor_resid_w0p0150_l1p0,residual_blend,0.015,1.0,0.6603347453153701,-0.000925813063862857,0.17910905636615124,"{1: 124, 2: 64, 3: 54, 4: 34, 5: 22}","{1: 138, 2: 66, 3: 42, 4: 31, 5: 21}",62,30,32,-0.03225806451612903,0,9,9,16,"1.910651,2.536285,3.256305,4.118566"
step25_openalex_anchor_blend_w0p0150_l4p0,label_blend,0.015,4.0,0.6603336880507609,-0.0009268703284720514,0.17910905636615124,"{1: 124, 2: 64, 3: 53, 4: 35, 5: 22}","{1: 138, 2: 66, 3: 42, 4: 29, 5: 23}",52,25,27,-0.038461538461538464,0,5,8,14,"1.910292,2.537455,3.254405,4.077075"
step25_openalex_anchor_resid_w0p0150_l4p0,residual_blend,0.015,4.0,0.6603336880507609,-0.0009268703284720514,0.17910905636615124,"{1: 124, 2: 64, 3: 53, 4: 35, 5: 22}","{1: 138, 2: 66, 3: 42, 4: 29, 5: 23}",52,25,27,-0.038461538461538464,0,5,8,14,"1.910292,2.537455,3.254405,4.077075"
step25_specter2_finetune_blend_w0p0100_l0p5,label_blend,0.01,0.5,0.6603219697682925,-0.0009385886109404273,0.1651238139319602,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 139, 2: 64, 3: 43, 4: 29, 5: 23}",49,23,26,-0.061224489795918366,0,10,4,12,"1.916496,2.521157,3.255498,4.090095"
step25_specter2_finetune_resid_w0p0100_l0p5,residual_blend,0.01,0.5,0.6603219697682925,-0.0009385886109404273,0.1651238139319602,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 139, 2: 64, 3: 43, 4: 29, 5: 23}",49,23,26,-0.061224489795918366,0,10,4,12,"1.916496,2.521157,3.255498,4.090095"
step25_openalex_anchor_blend_w0p0100_l1p0,label_blend,0.01,1.0,0.6603152726997863,-0.000945285679446628,0.16904194227219152,"{1: 125, 2: 60, 3: 56, 4: 35, 5: 22}","{1: 138, 2: 66, 3: 41, 4: 30, 5: 23}",47,22,25,-0.06382978723404255,0,5,4,11,"1.909021,2.533220,3.252166,4.089172"
step25_openalex_anchor_resid_w0p0100_l1p0,residual_blend,0.01,1.0,0.6603152726997863,-0.000945285679446628,0.16904194227219152,"{1: 125, 2: 60, 3: 56, 4: 35, 5: 22}","{1: 138, 2: 66, 3: 41, 4: 30, 5: 23}",47,22,25,-0.06382978723404255,0,5,4,11,"1.909021,2.533220,3.252166,4.089172"
step25_pairwise_e5_blend_w0p0050_l1p0,label_blend,0.005,1.0,0.6603137692948795,-0.0009467890843534166,0.17575335166816466,"{1: 125, 2: 62, 3: 54, 4: 35, 5: 22}","{1: 138, 2: 66, 3: 41, 4: 31, 5: 22}",52,26,26,0.0,0,10,6,12,"1.909319,2.534251,3.255659,4.117125"
step25_pairwise_e5_resid_w0p0050_l1p0,residual_blend,0.005,1.0,0.6603137692948795,-0.0009467890843534166,0.17575335166816466,"{1: 125, 2: 62, 3: 54, 4: 35, 5: 22}","{1: 138, 2: 66, 3: 41, 4: 31, 5: 22}",52,26,26,0.0,0,10,6,12,"1.909319,2.534251,3.255659,4.117125"
step25_modernbert_best_blend_w0p0075_l0p5,label_blend,0.0075,0.5,0.6602998910595319,-0.000960667319701014,0.1651238139319602,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 139, 2: 62, 3: 42, 4: 32, 5: 23}",34,13,21,-0.23529411764705882,0,6,4,7,"1.912510,2.515128,3.239293,4.084374"
step25_modernbert_best_blend_w0p0100_l0p5,label_blend,0.01,0.5,0.6602998910595319,-0.000960667319701014,0.1651238139319602,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 139, 2: 62, 3: 42, 4: 32, 5: 23}",34,13,21,-0.23529411764705882,0,6,4,7,"1.912510,2.515128,3.239293,4.084374"
step25_modernbert_best_resid_w0p0075_l0p5,residual_blend,0.0075,0.5,0.6602998910595319,-0.000960667319701014,0.1651238139319602,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 139, 2: 62, 3: 42, 4: 32, 5: 23}",34,13,21,-0.23529411764705882,0,6,4,7,"1.912510,2.515128,3.239293,4.084374"
step25_modernbert_best_resid_w0p0100_l0p5,residual_blend,0.01,0.5,0.6602998910595319,-0.000960667319701014,0.1651238139319602,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 139, 2: 62, 3: 42, 4: 32, 5: 23}",34,13,21,-0.23529411764705882,0,6,4,7,"1.912510,2.515128,3.239293,4.084374"
step25_modernbert_second_blend_w0p0075_l0p5,label_blend,0.0075,0.5,0.6602998910595319,-0.000960667319701014,0.1651238139319602,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 139, 2: 62, 3: 42, 4: 32, 5: 23}",34,13,21,-0.23529411764705882,0,6,4,7,"1.912510,2.515128,3.239293,4.084374"
step25_modernbert_second_blend_w0p0100_l0p5,label_blend,0.01,0.5,0.6602998910595319,-0.000960667319701014,0.1651238139319602,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 139, 2: 62, 3: 42, 4: 32, 5: 23}",34,13,21,-0.23529411764705882,0,6,4,7,"1.912510,2.515128,3.239293,4.084374"
step25_modernbert_second_resid_w0p0075_l0p5,residual_blend,0.0075,0.5,0.6602998910595319,-0.000960667319701014,0.1651238139319602,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 139, 2: 62, 3: 42, 4: 32, 5: 23}",34,13,21,-0.23529411764705882,0,6,4,7,"1.912510,2.515128,3.239293,4.084374"
step25_modernbert_second_resid_w0p0100_l0p5,residual_blend,0.01,0.5,0.6602998910595319,-0.000960667319701014,0.1651238139319602,"{1: 126, 2: 58, 3: 57, 4: 35, 5: 22}","{1: 139, 2: 62, 3: 42, 4: 32, 5: 23}",34,13,21,-0.23529411764705882,0,6,4,7,"1.912510,2.515128,3.239293,4.084374"
step25_openalex_anchor_blend_w0p0300_l4p0,label_blend,0.03,4.0,0.6602153351285889,-0.001045223250644045,0.1824647610641378,"{1: 124, 2: 64, 3: 56, 4: 32, 5: 22}","{1: 138, 2: 67, 3: 41, 4: 29, 5: 23}",65,32,33,-0.015384615384615385,0,2,13,15,"1.919554,2.541778,3.259225,4.070949"
step25_pairwise_e5_blend_w0p0200_l4p0,label_blend,0.02,4.0,0.6601760554147567,-0.0010845029644762638,0.17575335166816466,"{1: 126, 2: 61, 3: 54, 4: 35, 5: 22}","{1: 139, 2: 65, 3: 39, 4: 33, 5: 22}",51,24,27,-0.058823529411764705,1,9,7,11,"1.914213,2.535269,3.252314,4.094298"
step25_pairwise_e5_resid_w0p0200_l4p0,residual_blend,0.02,4.0,0.6601760554147567,-0.0010845029644762638,0.17575335166816466,"{1: 126, 2: 61, 3: 54, 4: 35, 5: 22}","{1: 139, 2: 65, 3: 39, 4: 33, 5: 22}",51,24,27,-0.058823529411764705,1,9,7,11,"1.914213,2.535269,3.252314,4.094298"
step25_specter2_finetune_blend_w0p0075_l0p5,label_blend,0.0075,0.5,0.660160287116446,-0.0011002712627868894,0.1723976469701781,"{1: 123, 2: 63, 3: 55, 4: 35, 5: 22}","{1: 136, 2: 68, 3: 39, 4: 32, 5: 23}",30,13,17,-0.13333333333333333,0,6,3,7,"1.901383,2.530168,3.237403,4.092085"
step25_specter2_finetune_resid_w0p0075_l0p5,residual_blend,0.0075,0.5,0.660160287116446,-0.0011002712627868894,0.1723976469701781,"{1: 123, 2: 63, 3: 55, 4: 35, 5: 22}","{1: 136, 2: 68, 3: 39, 4: 32, 5: 23}",30,13,17,-0.13333333333333333,0,6,3,7,"1.901383,2.530168,3.237403,4.092085"
step25_openalex_anchor_blend_w0p0200_l1p0,label_blend,0.02,1.0,0.660099125921955,-0.0011614324572779555,0.17910905636615118,"{1: 124, 2: 64, 3: 56, 4: 32, 5: 22}","{1: 138, 2: 66, 3: 42, 4: 29, 5: 23}",65,31,34,-0.046153846153846156,0,5,13,14,"1.914805,2.539905,3.263576,4.082086"
step25_openalex_anchor_resid_w0p0200_l1p0,residual_blend,0.02,1.0,0.660099125921955,-0.0011614324572779555,0.17910905636615118,"{1: 124, 2: 64, 3: 56, 4: 32, 5: 22}","{1: 138, 2: 66, 3: 42, 4: 29, 5: 23}",65,31,34,-0.046153846153846156,0,5,13,14,"1.914805,2.539905,3.263576,4.082086"
step25_deberta_v3_blend_w0p0150_l1p0,label_blend,0.015,1.0,0.6600854297830463,-0.0011751285961866254,0.17239764697017815,"{1: 124, 2: 63, 3: 55, 4: 34, 5: 22}","{1: 140, 2: 63, 3: 42, 4: 30, 5: 23}",46,21,25,-0.08695652173913043,0,7,8,12,"1.912514,2.535022,3.248924,4.091942"
step25_deberta_v3_resid_w0p0150_l1p0,residual_blend,0.015,1.0,0.6600854297830463,-0.0011751285961866254,0.17239764697017815,"{1: 124, 2: 63, 3: 55, 4: 34, 5: 22}","{1: 140, 2: 63, 3: 42, 4: 30, 5: 23}",46,21,25,-0.08695652173913043,0,7,8,12,"1.912514,2.535022,3.248924,4.091942"
step25_llm_zeroshot_v2_blend_w0p0050_l0p5,label_blend,0.005,0.5,0.6600563676248217,-0.0012041907544112496,0.16233053287621838,"{1: 125, 2: 60, 3: 56, 4: 35, 5: 22}","{1: 138, 2: 64, 3: 41, 4: 32, 5: 23}",40,13,27,-0.35,0,4,4,7,"1.910616,2.520596,3.232431,4.078995"
step25_llm_zeroshot_v2_resid_w0p0050_l0p5,residual_blend,0.005,0.5,0.6600563676248217,-0.0012041907544112496,0.16233053287621838,"{1: 125, 2: 60, 3: 56, 4: 35, 5: 22}","{1: 138, 2: 64, 3: 41, 4: 32, 5: 23}",40,13,27,-0.35,0,4,4,7,"1.910616,2.520596,3.232431,4.078995"
step25_openalex_anchor_blend_w0p0100_l4p0,label_blend,0.01,4.0,0.6600289282194369,-0.0012316301597959933,0.18246476106413784,"{1: 126, 2: 62, 3: 53, 4: 35, 5: 22}","{1: 138, 2: 67, 3: 39, 4: 31, 5: 23}",51,23,28,-0.09803921568627451,0,5,8,11,"1.912611,2.540283,3.246971,4.080510"
step25_openalex_anchor_resid_w0p0100_l4p0,residual_blend,0.01,4.0,0.6600289282194369,-0.0012316301597959933,0.18246476106413784,"{1: 126, 2: 62, 3: 53, 4: 35, 5: 22}","{1: 138, 2: 67, 3: 39, 4: 31, 5: 23}",51,23,28,-0.09803921568627451,0,5,8,11,"1.912611,2.540283,3.246971,4.080510"
