name,model,weight,threshold_lambda,oof_qwk,oof_lift_vs_step18b,oof_lift_vs_step25,test_l1,diff_vs_step25_public,diff_vs_step25_private,diff_vs_step25_total,forbidden_vs_step25,pub_dist,pri_dist,changed,improved,worsened,mean_delta_abs_error,risky_promotions,core_demotions,public_changed,private_changed,forbidden_changes,w_e5,w_scincl,w_specter,w_ridge,diff_vs_step36_public,diff_vs_step36_private,diff_vs_step36_total,diff_vs_step39_public,diff_vs_step39_private,diff_vs_step39_total,oof_lift_vs_step36,oof_lift_vs_step39,thresholds
step13retune_e50p50_scincl0p40_specter0p05_ridge0p05_bge0p0275_l6p0,ridge_a3p0,0.0275,6.0,0.6613187497825087,0.0011424140371937286,5.819140327578687e-05,0.16233053287621838,9,14,23,0,"{1: 121, 2: 65, 3: 57, 4: 33, 5: 22}","{1: 140, 2: 61, 3: 44, 4: 30, 5: 23}",135,73,62,0.08148148148148149,20,29,14,16,0,0.5,0.4,0.05,0.05,10,12,22,10,11,21,-0.0007792356469140671,-0.0012673568270465951,"1.927301,2.529340,3.225265,4.047484"
step13retune_e50p45_scincl0p37_specter0p13_ridge0p05_bge0p0275_l4p0,ridge_a3p0,0.0275,4.0,0.6612697033650952,0.0010933676197801834,9.144985862241661e-06,0.16568623757420492,7,14,21,0,"{1: 123, 2: 62, 3: 59, 4: 32, 5: 22}","{1: 140, 2: 63, 3: 43, 4: 30, 5: 22}",115,61,54,0.06086956521739131,13,23,12,16,0,0.45,0.37,0.13,0.05,8,12,20,8,11,19,-0.0008282820643276123,-0.0013164032444601403,"1.923551,2.529637,3.227562,4.053735"
step13retune_e50p45_scincl0p35_specter0p14_ridge0p06_bge0p0275_l6p0,ridge_a3p0,0.0275,6.0,0.6612314017751193,0.001055066029804319,-2.9156604113622642e-05,0.16904194227219152,7,15,22,0,"{1: 123, 2: 63, 3: 57, 4: 33, 5: 22}","{1: 140, 2: 63, 3: 43, 4: 29, 5: 23}",118,64,54,0.0847457627118644,13,24,12,17,0,0.45,0.35,0.14,0.06,8,13,21,8,12,20,-0.0008665836543034766,-0.0013547048344360046,"1.927024,2.533170,3.219542,4.039133"
step13retune_e50p46_scincl0p37_specter0p12_ridge0p05_bge0p0275_l4p0,ridge_a3p0,0.0275,4.0,0.6612241145918056,0.0010477788464906546,-3.6443787427287155e-05,0.16568623757420495,7,13,20,0,"{1: 122, 2: 63, 3: 58, 4: 33, 5: 22}","{1: 139, 2: 64, 3: 42, 4: 30, 5: 23}",115,62,53,0.0782608695652174,14,24,12,15,0,0.46,0.37,0.12,0.05,8,11,19,8,10,18,-0.0008738708376171411,-0.0013619920177496692,"1.923894,2.529496,3.223832,4.043348"
step13retune_e50p46_scincl0p37_specter0p12_ridge0p05_bge0p0275_l6p0,ridge_a3p0,0.0275,6.0,0.6612241145918056,0.0010477788464906546,-3.6443787427287155e-05,0.16568623757420495,7,13,20,0,"{1: 122, 2: 63, 3: 58, 4: 33, 5: 22}","{1: 139, 2: 64, 3: 42, 4: 30, 5: 23}",115,62,53,0.0782608695652174,14,24,12,15,0,0.46,0.37,0.12,0.05,8,11,19,8,10,18,-0.0008738708376171411,-0.0013619920177496692,"1.923777,2.532038,3.222011,4.048028"
step13retune_e50p35_scincl0p30_specter0p25_ridge0p10_bge0p0275_l6p0,ridge_a3p0,0.0275,6.0,0.6611931151514339,0.001016779406118884,-6.744322779905776e-05,0.17239764697017815,22,17,39,1,"{1: 126, 2: 62, 3: 52, 4: 35, 5: 23}","{1: 138, 2: 64, 3: 44, 4: 28, 5: 24}",149,79,70,0.06040268456375839,29,28,23,21,0,0.35,0.3,0.25,0.1,21,15,36,17,16,33,-0.0009048702779889117,-0.0013929914581214398,"1.937498,2.526392,3.195458,4.018452"
step13retune_e50p45_scincl0p35_specter0p10_ridge0p10_bge0p0275_l4p0,ridge_a3p0,0.0275,4.0,0.6611896819597096,0.0010133462143946392,-7.087641952330248e-05,0.16568623757420492,13,16,29,0,"{1: 122, 2: 64, 3: 57, 4: 32, 5: 23}","{1: 140, 2: 62, 3: 44, 4: 29, 5: 23}",131,73,58,0.11450381679389313,21,23,18,18,0,0.45,0.35,0.1,0.1,12,14,26,12,13,25,-0.0009083034697131565,-0.0013964246498456845,"1.936472,2.529354,3.200247,4.009617"
step13retune_e50p45_scincl0p35_specter0p14_ridge0p06_bge0p0275_l4p0,ridge_a3p0,0.0275,4.0,0.6610989508066388,0.0009226150613238504,-0.0001616075725940913,0.16568623757420495,6,15,21,0,"{1: 123, 2: 62, 3: 58, 4: 33, 5: 22}","{1: 140, 2: 63, 3: 43, 4: 29, 5: 23}",120,65,55,0.08333333333333333,15,24,11,17,0,0.45,0.35,0.14,0.06,7,13,20,7,12,19,-0.0009990346227839453,-0.0014871558029164733,"1.926317,2.530488,3.223193,4.039070"
step13retune_e50p40_scincl0p30_specter0p30_ridge0p00_bge0p0275_l4p0,ridge_a3p0,0.0275,4.0,0.6610840419866013,0.0009077062412863324,-0.00017651639263160934,0.17575335166816464,14,16,30,1,"{1: 124, 2: 63, 3: 54, 4: 34, 5: 23}","{1: 138, 2: 66, 3: 42, 4: 29, 5: 23}",128,70,58,0.09375,17,30,15,18,0,0.4,0.3,0.3,0.0,15,14,29,11,15,26,-0.0010139434428214633,-0.0015020646229539913,"1.912781,2.545575,3.245864,4.088575"
step13retune_e50p43_scincl0p37_specter0p15_ridge0p05_bge0p0275_l6p0,ridge_a3p0,0.0275,6.0,0.6610641883331967,0.0008878525878817101,-0.00019637004603623165,0.16568623757420492,8,13,21,1,"{1: 124, 2: 61, 3: 57, 4: 34, 5: 22}","{1: 139, 2: 64, 3: 43, 4: 30, 5: 22}",113,60,53,0.061946902654867256,11,22,9,15,0,0.43,0.37,0.15,0.05,7,11,18,7,10,17,-0.0010337970962260856,-0.0015219182763586137,"1.922710,2.530090,3.223697,4.047945"
