candidate,oof_qwk,oof_mae,oof_macro_f1,thresholds,oof_l1_dist,test_combined_l1_dist,label_dist_combined,label_dist_public,label_dist_private,weights
blend_3anchor_scincl_specter_ridge_50_30_20,0.64362783199735,0.7894947874899759,0.40461513398722176,"[1.9516700362892596, 2.4825201082139263, 3.1381621347129847, 3.9025745200453725]",0.009623095429029657,0.17519092802591998,"{1: 268, 2: 119, 3: 101, 4: 65, 5: 43}","{1: 126, 2: 59, 3: 56, 4: 35, 5: 22}","{1: 142, 2: 60, 3: 45, 4: 30, 5: 21}","{'scincl': 0.5, 'specter_3s': 0.3, 'ridge_5x5': 0.2}"
blend_specter_scibert_50_50,0.6429145344050317,0.7870890136327185,0.41528246733293706,"[1.8753967946586891, 2.57687381936946, 3.298254008752221, 4.15383982630404]",0.008821170809943851,0.19588757985608413,"{1: 256, 2: 141, 3: 89, 4: 64, 5: 46}","{1: 119, 2: 68, 3: 52, 4: 36, 5: 23}","{1: 137, 2: 73, 3: 37, 4: 28, 5: 23}","{'specter_3s': 0.5, 'scibert': 0.5}"
weighted_qwk,0.6427998856218133,0.7951082598235766,0.4020941035048168,"[1.890309462733678, 2.4873641981458228, 3.148029159298853, 3.9073698973169795]",0.0024057738572574178,0.21266610334601707,"{1: 264, 2: 138, 3: 85, 4: 64, 5: 45}","{1: 124, 2: 68, 3: 48, 4: 36, 5: 22}","{1: 140, 2: 70, 3: 37, 4: 28, 5: 23}","[0.1425843532798812, 0.15348410825072265, 0.1542065431851771, 0.15522287764582615, 0.1531650338379016, 0.15097115520985202, 0.09036592859063927]"
blend_3anchor_scincl_specter_ridge_60_20_20,0.6412322175982934,0.7919005613472334,0.40135892903441983,"[1.9439553274754058, 2.4875441678954817, 3.1451427523602646, 3.90185870610906]",0.003207698476343182,0.16233053287621838,"{1: 264, 2: 123, 3: 99, 4: 67, 5: 43}","{1: 124, 2: 61, 3: 57, 4: 34, 5: 22}","{1: 140, 2: 62, 3: 42, 4: 33, 5: 21}","{'scincl': 0.6, 'specter_3s': 0.2, 'ridge_5x5': 0.2}"
blend_scincl_ridge_50_50,0.6407019333214059,0.7951082598235766,0.4064876860825407,"[2.027596608266919, 2.470609333503056, 2.976604492282442, 3.597084649997569]",0.020048115477145162,0.17575335166816464,"{1: 256, 2: 135, 3: 93, 4: 63, 5: 49}","{1: 119, 2: 69, 3: 52, 4: 33, 5: 25}","{1: 137, 2: 66, 3: 41, 4: 30, 5: 24}","{'scincl': 0.5, 'ridge_5x5': 0.5}"
blend_scincl_ridge_60_40,0.6405431422160834,0.7967121090617482,0.3961894908277401,"[1.9972963437415883, 2.4708771746293796, 3.037410808832188, 3.7323947286699903]",0.004811547714514822,0.16568623757420495,"{1: 257, 2: 131, 3: 97, 4: 68, 5: 43}","{1: 120, 2: 63, 3: 58, 4: 36, 5: 21}","{1: 137, 2: 68, 3: 39, 4: 32, 5: 22}","{'scincl': 0.6, 'ridge_5x5': 0.4}"
blend_scincl_ridge_70_30,0.638006806800413,0.7971130713712911,0.39741428461116884,"[1.9659402661147383, 2.4929343837474764, 3.091740434061876, 3.816560866478348]",0.017642341619887772,0.18917617046011098,"{1: 260, 2: 135, 3: 90, 4: 69, 5: 42}","{1: 121, 2: 70, 3: 51, 4: 35, 5: 21}","{1: 139, 2: 65, 3: 39, 4: 34, 5: 21}","{'scincl': 0.7, 'ridge_5x5': 0.30000000000000004}"
simple_avg,0.6375429289029995,0.8039294306335204,0.39976721614004473,"[1.8707868055240078, 2.471574755549302, 3.1104394743085426, 3.8761805064818713]",0.004009623095429002,0.2193775127419902,"{1: 266, 2: 138, 3: 88, 4: 66, 5: 38}","{1: 123, 2: 73, 3: 47, 4: 37, 5: 18}","{1: 143, 2: 65, 3: 41, 4: 29, 5: 20}","[0.25, 0.25, 0.25, 0.25]"
anchor_specter_3s_only,0.6373314201207952,0.7963111467522053,0.40759591515035715,"[1.8320314775466306, 2.528292181582156, 3.289658081408472, 4.171401461253652]",0.00641539695268642,0.17239764697017812,"{1: 261, 2: 129, 3: 97, 4: 61, 5: 48}","{1: 123, 2: 64, 3: 54, 4: 31, 5: 26}","{1: 138, 2: 65, 3: 43, 4: 30, 5: 22}",[1.0]
blend_4anchor_50_20_15_15,0.636568845907997,0.8035284683239775,0.4008460179109582,"[1.8680253653659595, 2.4517988417428045, 3.0918477909480173, 3.851696845252212]",0.007217321571772198,0.21266610334601704,"{1: 269, 2: 133, 3: 92, 4: 63, 5: 39}","{1: 125, 2: 70, 3: 48, 4: 36, 5: 19}","{1: 144, 2: 63, 3: 44, 4: 27, 5: 20}","{'specter_3s': 0.5, 'ridge_5x5': 0.2, 'scibert': 0.15, 'llm_zs': 0.15}"
