doi_norm,openalex_found,openalex_error,openalex_id,openalex_title,openalex_year,cited_by_count,referenced_works_count,fwci,is_retracted
10.4204/eptcs.325.25,True,,https://openalex.org/W3088505583,LP2PB: Translating Answer Set Programs into Pseudo-Boolean Theories,2020.0,1.0,71.0,0.0,False
10.4204/eptcs.325.27,True,,https://openalex.org/W3088577583,Dynamic Multi-Agent Path Finding based on Conflict Resolution using Answer Set Programming,2020.0,3.0,13.0,0.1372,False
10.4204/eptcs.325.28,True,,https://openalex.org/W3088838185,An application of Answer Set Programming in Distributed Architectures: ASP Microservices,2020.0,0.0,48.0,0.0,False
10.4204/eptcs.325.29,True,,https://openalex.org/W3087769921,Less Manual Work for Safety Engineers: Towards an Automated Safety Reasoning with Safety Patterns,2020.0,0.0,24.0,0.0,False
10.4204/eptcs.325.31,True,,https://openalex.org/W3088074035,A Machine Learning guided Rewriting Approach for ASP Logic Programs,2020.0,5.0,16.0,0.408,False
10.4204/eptcs.325.32,True,,https://openalex.org/W3093231909,Logical Judges Challenge Human Judges on the Strange Case of B.C.-Valjean,2020.0,2.0,18.0,0.8639,False
10.4204/eptcs.325.38,True,,https://openalex.org/W3088818322,Constraint Programming Algorithms for Route Planning Exploiting Geometrical Information,2020.0,1.0,31.0,0.0,False
10.4204/eptcs.325.39,True,,https://openalex.org/W3087918608,Research Summary on Implementing Functional Patterns by Synthesizing Inverse Functions,2020.0,0.0,24.0,0.0,False
10.4204/eptcs.325.40,True,,https://openalex.org/W3087967790,A Low-Level Index for Distributed Logic Programming,2020.0,0.0,48.0,0.0,False
10.4204/eptcs.325.41,True,,https://openalex.org/W3088365364,Extending Answer Set Programs with Neural Networks,2020.0,0.0,51.0,0.0,False
10.4204/eptcs.325.8,True,,https://openalex.org/W3088290324,Splitting a Hybrid ASP Program,2020.0,0.0,14.0,0.0,False
10.4204/eptcs.345.12,True,,https://openalex.org/W3199295391,Syntactic Requirements for Well-defined Hybrid Probabilistic Logic Programs,2021.0,1.0,31.0,0.14,False
10.4204/eptcs.345.13,True,,https://openalex.org/W3199073325,How to Split a Logic Program,2021.0,0.0,25.0,0.0,False
10.4204/eptcs.345.14,True,,https://openalex.org/W3199257618,Fixpoint Semantics for Recursive SHACL,2021.0,6.0,23.0,0.6998,False
10.4204/eptcs.345.17,True,,https://openalex.org/W3198924021,A Note on Occur-Check,2021.0,1.0,11.0,0.1593,False
10.4204/eptcs.345.23,True,,https://openalex.org/W3199615917,APIA: An Architecture for Policy-Aware Intentional Agents,2021.0,8.0,21.0,0.6999,False
10.4204/eptcs.345.24,True,,https://openalex.org/W3199662701,DMAPF: A Decentralized and Distributed Solver for Multi-Agent Path Finding Problem with Obstacles,2021.0,6.0,22.0,0.6999,False
10.4204/eptcs.345.25,True,,https://openalex.org/W3199691744,Refining the Semantics of Epistemic Specifications,2021.0,3.0,32.0,0.28,False
10.4204/eptcs.345.26,True,,https://openalex.org/W3199207316,Generating Explainable Rule Sets from Tree-Ensemble Learning Methods by Answer Set Programming,2021.0,4.0,28.0,0.56,False
10.4204/eptcs.345.27,True,,https://openalex.org/W3199556294,Natlog: a Lightweight Logic Programming Language with a Neuro-symbolic Touch,2021.0,9.0,32.0,1.1199,False
10.4204/eptcs.345.28,True,,https://openalex.org/W3199761854,exp(ASPc) : Explaining ASP Programs with Choice Atoms and Constraint Rules,2021.0,5.0,19.0,0.5599,False
10.4204/eptcs.345.30,True,,https://openalex.org/W3199888975,Modeling and Solving Graph Synthesis Problems Using SAT-Encoded Reachability Constraints in Picat,2021.0,3.0,27.0,0.3202,False
10.4204/eptcs.345.32,True,,https://openalex.org/W3199681680,A Logic-based Multi-agent System for Ethical Monitoring and Evaluation of Dialogues,2021.0,4.0,12.0,0.28,False
10.4204/eptcs.345.34,True,,https://openalex.org/W3198930512,Geolog: Scalable Logic Programming on Spatial Data,2021.0,1.0,14.0,0.0,False
10.4204/eptcs.345.35,True,,https://openalex.org/W3199108768,DiscASP: A Graph-based ASP System for Finding Relevant Consistent Concepts with Applications to Conversational Socialbots,2021.0,7.0,36.0,0.6998,False
