candidate,seed,fold,valid_mean,valid_std
bge_title_abs_ridge_a3,255,1,2.4183452129364014,0.897576630115509
bge_title_abs_ridge_a3,255,2,2.4830596446990967,0.9546437859535217
bge_title_abs_ridge_a3,255,3,2.4748401641845703,0.9845289587974548
bge_title_abs_ridge_a3,255,4,2.475425958633423,0.9602442979812622
bge_title_abs_ridge_a3,255,5,2.4269368648529053,0.8686763644218445
bge_title_abs_ridge_a3,256,1,2.512218713760376,0.9175618290901184
bge_title_abs_ridge_a3,256,2,2.4375312328338623,0.9720121622085571
bge_title_abs_ridge_a3,256,3,2.4160025119781494,0.9622429609298706
bge_title_abs_ridge_a3,256,4,2.4277331829071045,0.9200280904769897
bge_title_abs_ridge_a3,256,5,2.4819960594177246,0.8936882615089417
bge_title_abs_meta_ridge_a3,252,1,2.5226540565490723,0.9755949378013611
bge_title_abs_meta_ridge_a3,252,2,2.4401769638061523,0.9207209348678589
bge_title_abs_meta_ridge_a3,252,3,2.3767740726470947,0.9213559031486511
bge_title_abs_meta_ridge_a3,252,4,2.471930980682373,0.9021123647689819
bge_title_abs_meta_ridge_a3,252,5,2.485866069793701,0.9258677363395691
bge_title_abs_meta_ridge_a3,253,1,2.480729103088379,0.8698878288269043
bge_title_abs_meta_ridge_a3,253,2,2.4634509086608887,0.9568080306053162
bge_title_abs_meta_ridge_a3,253,3,2.5246005058288574,0.9771504998207092
bge_title_abs_meta_ridge_a3,253,4,2.394289493560791,0.8707757592201233
bge_title_abs_meta_ridge_a3,253,5,2.390839099884033,0.9646045565605164
bge_title_abs_meta_ridge_a3,254,1,2.432810068130493,0.9448843002319336
bge_title_abs_meta_ridge_a3,254,2,2.4580860137939453,0.8938188552856445
bge_title_abs_meta_ridge_a3,254,3,2.45845890045166,0.9435683488845825
bge_title_abs_meta_ridge_a3,254,4,2.4750237464904785,0.9097959995269775
bge_title_abs_meta_ridge_a3,254,5,2.429349422454834,0.9316701889038086
bge_title_abs_meta_ridge_a3,255,1,2.3987367153167725,0.8865978717803955
bge_title_abs_meta_ridge_a3,255,2,2.444814920425415,0.9565047025680542
bge_title_abs_meta_ridge_a3,255,3,2.490480422973633,0.986434817314148
bge_title_abs_meta_ridge_a3,255,4,2.5004587173461914,0.9631958603858948
bge_title_abs_meta_ridge_a3,255,5,2.4276604652404785,0.8739545941352844
bge_title_abs_meta_ridge_a3,256,1,2.5058462619781494,0.9021556973457336
bge_title_abs_meta_ridge_a3,256,2,2.4446089267730713,0.9515329599380493
bge_title_abs_meta_ridge_a3,256,3,2.4028193950653076,0.9678110480308533
bge_title_abs_meta_ridge_a3,256,4,2.429783582687378,0.9141321182250977
bge_title_abs_meta_ridge_a3,256,5,2.482110023498535,0.8919174075126648
bge_title_abs_huber,252,1,2.5037169247847113,1.0290014859726206
bge_title_abs_huber,252,2,2.4201905616080874,0.9809453780501158
bge_title_abs_huber,252,3,2.390487549602478,0.9899602763205517
bge_title_abs_huber,252,4,2.4471800218414423,0.9571888324886382
bge_title_abs_huber,252,5,2.481920011681235,0.9739718313214762
bge_title_abs_huber,253,1,2.46449026284735,0.9318075260741847
bge_title_abs_huber,253,2,2.486169149843948,0.9916832359160749
bge_title_abs_huber,253,3,2.4987904636182967,1.0417258697809886
bge_title_abs_huber,253,4,2.3839151001212655,0.9316956898288431
bge_title_abs_huber,253,5,2.39339789917443,1.0230353800095104
bge_title_abs_huber,254,1,2.4044410405711876,0.9949916568182352
bge_title_abs_huber,254,2,2.4428703466664863,0.9353614611930022
bge_title_abs_huber,254,3,2.458963152111925,1.008090766295516
bge_title_abs_huber,254,4,2.4683735477222926,1.0074200015057349
bge_title_abs_huber,254,5,2.4280040685428865,0.9985637814638735
bge_title_abs_huber,255,1,2.4063752460993735,0.9585186254877236
bge_title_abs_huber,255,2,2.4696041617525206,1.0004559064209606
bge_title_abs_huber,255,3,2.47196514014645,1.03690399812846
bge_title_abs_huber,255,4,2.4619514908556406,1.0081925562389358
bge_title_abs_huber,255,5,2.420886538907054,0.9180281561903708
bge_title_abs_huber,256,1,2.5051091864176716,0.9710860708721173
bge_title_abs_huber,256,2,2.4262427140409484,1.029535816510152
bge_title_abs_huber,256,3,2.418162942281975,1.015483048115476
bge_title_abs_huber,256,4,2.410576556958207,0.9656980345550589
bge_title_abs_huber,256,5,2.478253637389412,0.9485356510786151
